HALF,PROGRAM,NIGHT,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS,N_CONNECTED_COMPONENTS
A,BRIGHT,20220204,-0.7564822756009228,0,206,117550,1
A,BRIGHT,20220205,-0.23995555096651475,0,206,117550,1
A,BRIGHT,20220206,1.111443404319571,0,206,117550,1
A,BRIGHT,20220207,0.3775966537786585,0,206,117550,1
A,BRIGHT,20220208,0.057473600252177924,0,206,117550,1
A,BRIGHT,20220209,-0.36057407968005717,0,206,117550,1
A,BRIGHT,20220210,-0.6265124393081118,0,206,117550,1
A,BRIGHT,20220211,-0.5426711314232548,0,206,117550,1
A,BRIGHT,20220212,-0.4949792386501388,0,206,117550,1
A,BRIGHT,20220213,-0.7137561931274169,0,206,117550,1
A,BRIGHT,20220217,0.0473296088283622,0,206,117550,1
A,BRIGHT,20220218,-0.5653199324752103,0,206,117550,1
A,BRIGHT,20220219,-0.5533627400790759,0,206,117550,1
A,BRIGHT,20220220,-0.9845069725897421,0,206,117550,1
A,BRIGHT,20220221,0.32002300668024897,0,206,117550,1
A,BRIGHT,20220225,0.4211551049895964,0,206,117550,1
A,BRIGHT,20220227,0.32803077910517786,0,206,117550,1
A,BRIGHT,20220301,-1.0599954155767342,0,206,117550,1
A,BRIGHT,20220302,0.18378734289133583,0,206,117550,1
A,BRIGHT,20220303,-0.9832048897606717,0,206,117550,1
A,BRIGHT,20220304,0.8706463818385937,0,206,117550,1
A,BRIGHT,20220305,-0.06969747811845421,0,206,117550,1
A,BRIGHT,20220306,-0.15047141266495662,0,206,117550,1
A,BRIGHT,20220307,0.46464815699221584,0,206,117550,1
A,BRIGHT,20220310,1.065665233796871,0,206,117550,1
A,BRIGHT,20220311,-0.2858291618072112,0,206,117550,1
A,BRIGHT,20220312,-0.4704937403555448,0,206,117550,1
A,BRIGHT,20220313,-0.19616469166179198,0,206,117550,1
A,BRIGHT,20220314,-0.602142499630675,0,206,117550,1
A,BRIGHT,20220315,-0.9937251412733025,0,206,117550,1
A,BRIGHT,20220316,-0.430682750176128,0,206,117550,1
A,BRIGHT,20220317,-0.9579478087244292,0,206,117550,1
A,BRIGHT,20220318,-0.8553939127983067,0,206,117550,1
A,BRIGHT,20220319,-0.26102018913530967,0,206,117550,1
A,BRIGHT,20220321,-0.47437370102324883,0,206,117550,1
A,BRIGHT,20220322,-0.2285151697403344,0,206,117550,1
A,BRIGHT,20220323,-0.11720768048866817,0,206,117550,1
A,BRIGHT,20220325,-0.14942854513229947,0,206,117550,1
